INFO 2025-12-28 23:16:03,983 basehttp 208872 138373060400704 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:16:04,007 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766963763 HTTP/1.1" 200 37857
INFO 2025-12-28 23:16:07,821 basehttp 208872 138373052008000 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-12-28 23:16:07,866 basehttp 208872 138373052008000 "GET /dashboard/ HTTP/1.1" 200 1505
INFO 2025-12-28 23:16:07,942 basehttp 208872 138373052008000 "GET /static/css/dist/styles.css?v=1766963767 HTTP/1.1" 200 37857
INFO 2025-12-28 23:37:29,656 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 1419
INFO 2025-12-28 23:37:29,688 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965049 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:00,540 basehttp 208872 138373052008000 "GET /auth/logout/ HTTP/1.1" 302 0
INFO 2025-12-28 23:42:00,549 basehttp 208872 138373052008000 "GET / HTTP/1.1" 200 4964
INFO 2025-12-28 23:42:00,621 basehttp 208872 138373052008000 "GET /static/css/dist/styles.css?v=1766965320 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:02,692 basehttp 208872 138373060400704 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:42:02,740 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965322 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:08,157 basehttp 208872 138373052008000 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-12-28 23:42:08,201 basehttp 208872 138373052008000 "GET /dashboard/ HTTP/1.1" 200 1505
INFO 2025-12-28 23:42:08,266 basehttp 208872 138373052008000 "GET /static/css/dist/styles.css?v=1766965328 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:24,808 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 1348
INFO 2025-12-28 23:42:24,832 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965344 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:34,523 basehttp 208872 138373052008000 "GET /auth/logout/ HTTP/1.1" 302 0
INFO 2025-12-28 23:42:34,533 basehttp 208872 138373052008000 "GET / HTTP/1.1" 200 4964
INFO 2025-12-28 23:42:34,639 basehttp 208872 138373052008000 "GET /static/css/dist/styles.css?v=1766965354 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:37,614 basehttp 208872 138373060400704 "GET /auth/login/ HTTP/1.1" 200 2776
INFO 2025-12-28 23:42:37,638 basehttp 208872 138373060400704 "GET /static/css/dist/styles.css?v=1766965357 HTTP/1.1" 200 37857
INFO 2025-12-28 23:42:41,231 basehttp 208872 138373052008000 "POST /auth/login/ HTTP/1.1" 302 0
INFO 2025-12-28 23:42:41,264 basehttp 208872 138373052008000 "GET /dashboard/ HTTP/1.1" 200 1434
INFO 2025-12-28 23:42:41,359 basehttp 208872 138373052008000 "GET /static/css/dist/styles.css?v=1766965361 HTTP/1.1" 200 37857
INFO 2025-12-28 23:45:03,666 basehttp 208872 138373060400704 "GET /dashboard/ HTTP/1.1" 200 1314
